"iso3","country","year","agricultural_land_pct","forest_area_pct","population","urban_population_pct","fertilizer_kg_ha","livestock_index","cereal_yield","ghg_emissions"
"KHM","Cambodia",2022,34.8115777249037,43.9439723544074,17201724,40.374616187368,32.930922220914,95.81,3654,47.1042
"CHN","China",2003,55.8843892938216,19.6079386867747,1288400000,40.5302314758301,328.658260424965,74.54,4871.1,6292.8849
"CHN","China",2004,55.9476447513305,19.8594228667065,1296075000,41.7600135803223,352.264351737972,77.28,5186.8,7131.5343
"CHN","China",2005,56.0109031839269,20.1109081284255,1303720000,42.9899978637695,375.104995496979,81.31,5224.6,7974.396
"CHN","China",2006,56.0741598447602,20.3623927769671,1311020000,44.3430099487305,374.765138080587,83.26,5313.4,8759.3389
"CHN","China",2007,56.1374176962452,20.6138778860824,1317885000,45.8892440795898,385.314635786511,82.84,5320.6,9356.3434
"CHN","China",2008,56.2006719746855,20.8653616938384,1324655000,46.9895057678223,372.65810231486,87.11,5549.7,9576.2959
"CHN","China",2009,56.2639250438662,21.1168450517356,1331260000,48.3417053222656,383.967587321621,90.25,5449.6,10196.8722
"CHN","China",2010,56.1834730812931,21.3683288541342,1337705000,49.2340270628041,425.239340293993,92.48,5527.5,11062.0446
"CHN","China",2011,56.1036602181182,21.574627370433,1345035000,51.8300285339355,444.64980620155,92.85,5710,12056.806
"CHN","China",2012,56.0235278052443,21.7809258867318,1354190000,53.1003112792969,457.333238442414,96.45,5828.7,12419.567
"CHN","China",2013,55.9433953923703,21.9872244030306,1363240000,54.4900016784668,458.516155476157,97.34,5897.7,12948.608
"CHN","China",2014,55.8632629794963,22.1935229193294,1371860000,55.7502555847168,477.579277718331,99.17,5896.3,13095.1974
"CHN","China",2015,55.7831305666223,22.3998214356282,1379860000,57.3297843933105,465.6126796366,100.66,5985.2,12931.0416
"CHN","China",2016,55.7030573453299,22.6305120997506,1387790000,58.8399238586426,480.055071748405,100.17,6018.6,12913.087
"CHN","China",2017,55.6228503623161,22.8306567492632,1396215000,60.2402687072754,460.457754805883,99.99,6110.8,13160.5935
"CHN","China",2018,55.54274989588,23.0309079153534,1402760000,61.5001983642578,442.553246565176,100.57,6122,13740.9299
"CHN","China",2019,55.462649429444,23.2311590814436,1407745000,62.7099151611328,427.750847233594,97.14,6265.1,14052.8622
"CHN","China",2020,55.4526368711394,23.4313037309562,1411100000,63.5234230266258,414.491446133711,98.44,6296.1,14230.2296
"CHN","China",2021,55.4426243128349,23.6315548970464,1412360000,64.721076965332,406.234332124994,108.08,6317.5,14866.4936
"CHN","China",2022,55.4326117545304,23.8316995465589,1412175000,65.2176361083984,395.13903230531,109.5,6381.3,14857.4011
"EGY","Egypt",2003,3.4245818474057,0.0614184539655432,77853548,42.8834685533792,477.666896077082,83.39,7515.4,230.8976
"EGY","Egypt",2004,3.49389723240745,0.0620643929880958,79477443,42.9255593360476,541.281618887015,79.67,7556.2,245.7041
"EGY","Egypt",2005,3.53910291827817,0.0627103320106484,81101004,42.9569271409488,600.078033554428,83.85,7536.9,264.5887
"EGY","Egypt",2006,3.54914862624943,0.0633562710332011,82700403,42.9729991680104,586.564299424184,89.38,7500.2,276.7799
"EGY","Egypt",2007,3.55417148023507,0.0640022100557537,84276225,42.9729666344509,523.166926677067,94.21,7418.5,291.1199
"EGY","Egypt",2008,3.55818976342358,0.0646481490783063,85864789,42.9608989120873,520.249810749432,95.97,7452.2,294.1135
"EGY","Egypt",2009,3.70586167060124,0.0652940881008589,87501636,42.9383470624904,483.079056865465,94.26,7158.3,301.7206
"EGY","Egypt",2010,3.68777939625295,0.0659400271234115,89196072,42.9057175520154,473.372781065089,96.42,6504.3,301.7043
"EGY","Egypt",2011,3.63654628559948,0.0624802852981064,91093059,42.8634168470177,503.561253561254,97.97,7246.3,311.4754
"EGY","Egypt",2012,3.71289366618112,0.0590205434728013,93161001,42.8118514138525,462.990455991516,101.24,7269,326.2503
"EGY","Egypt",2013,3.74802350695665,0.0555608016474961,95333553,42.7514277188751,536.748930010303,102.19,7285.3,320.1896
"EGY","Egypt",2014,3.73217137977799,0.052101059822191,97528654,42.6825522284408,546.968210621205,102.59,7085,325.1377
"EGY","Egypt",2015,3.80719985936009,0.0486413179968858,99597342,42.6056314089048,569.459171853531,99.65,7117.3,331.5432
"EGY","Egypt",2016,3.75083168416294,0.0451855944547692,101644589,42.5210717266225,568.042074872898,97.76,7251.5,344.7621
"EGY","Egypt",2017,3.85450680596715,0.0451855944547692,103696057,42.4486008687179,574.181976125568,102.48,7400.6,357.5541
"EGY","Egypt",2018,3.88065698930132,0.0451855944547692,105682094,42.4577177449969,535.290259101345,98.94,6776,352.9856
"EGY","Egypt",2019,3.93992666633181,0.0451855944547692,107553158,42.4812027332648,504.721963342653,99.76,6043.8,326.4249
"EGY","Egypt",2020,3.98915063539103,0.0451855944547692,109315124,42.5181534630674,506.627043090639,110.92,7167.4,335.7242
"EGY","Egypt",2021,4.04942488321865,0.0451855944547692,110957008,42.5686062621468,541.891452713682,122.85,7340.5,352.548
"EGY","Egypt",2022,4.07654829474107,0.0451855944547692,112618250,42.6325129008032,532.774734128263,119.36,7080.3,350.4004
"IND","India",2003,60.6247834817149,22.9257127866029,1116803006,28.4660287698,105.177203862352,54.25,2386.1,1938.2256
"IND","India",2004,60.6671622062499,22.9897853820307,1135991513,28.7726067228528,115.271510073208,56.82,2336.7,2040.7615
"IND","India",2005,60.5834137744308,23.0538579774586,1154676322,29.0945497159107,127.614591957051,59.27,2399.8,2111.743
"IND","India",2006,60.5094191760365,23.1179305728864,1172878890,29.4309857146804,136.403921543911,62.06,2449.4,2216.1962
"IND","India",2007,60.4132261981239,23.1820031683142,1190676021,29.7810426848684,142.835225474934,66.15,2581.8,2359.3109
"IND","India",2008,60.4593046525785,23.246075763742,1207930964,30.1438485921815,153.349390803506,68.38,2644,2486.3897
"IND","India",2009,60.5639061075814,23.3101483591698,1225524753,30.5185314023263,167.457295914491,70.89,2563.4,2595.4144
"IND","India",2010,60.3974182611942,23.3742209545976,1243481564,30.9042190810094,179.035876924253,78.77,2666.4,2722.6207
"IND","India",2011,60.4300431523044,23.4638216864714,1261224954,31.2746502853309,180.748291172705,82.68,2885.2,2858.4621
"IND","India",2012,60.4206256579633,23.5534224183453,1278674502,31.5898935604399,163.122021642201,85.9,2998.1,3037.4947
"IND","India",2013,60.4394606466455,23.6430231502191,1295829511,31.9096789235237,156.495698086192,89.71,2969.9,3074.139
"IND","India",2014,60.4495508191538,23.732623882093,1312277191,32.2288233408821,163.498079418137,94.94,2990.6,3254.3163
"IND","India",2015,60.4317248477225,23.8222246139668,1328024498,32.5472990022299,171.038212936265,99.84,2852.4,3310.4591
"IND","India",2016,60.3990999566123,23.9116908102072,1343944296,32.8650780972823,166.003057888777,105.22,3012.9,3353.9184
"IND","India",2017,60.2840719900175,24.0014933455312,1359657400,33.1821328157539,170.569293434684,111.37,3127.6,3495.5015
"IND","India",2018,60.2437112999842,24.0909595417716,1374659064,33.4984353473598,176.071212647449,117.75,3301.1,3634.4229
"IND","India",2019,60.2198312250478,24.1807620770956,1389030312,33.8139578818147,186.456757783084,124.44,3394.1,3641.2932
"IND","India",2020,60.0459439188212,24.270228273336,1402617695,34.1286726088333,210.69195830144,128.12,3391,3461.05
"IND","India",2021,60.0507647678083,24.3596944695764,1414203896,34.4425517181304,193.601012213706,135.29,3527.9,3719.5632
"IND","India",2022,60.0555856504293,24.4494970049005,1425423212,34.7555673994206,193.754969391567,132.52,3564,3961.5256
"IDN","Indonesia",2003,24.7885640571414,53.684548598443,225048008,44.6301761521872,163.767181316538,66.34,4248.1,573.261
"IDN","Indonesia",2004,24.8373681438111,53.5982219088063,227926649,45.4476736441888,180.476086983022,70.83,4274.5,585.3283
"IDN","Indonesia",2005,24.9394340083909,53.5118952191696,230871650,46.2373757571669,184.326258311835,64.31,4311.3,593.1621
"IDN","Indonesia",2006,25.5208558741616,53.4255685295329,233951652,47.0017588692457,189.627512709136,72.83,4365.8,626.634
"IDN","Indonesia",2007,26.0490159620222,53.3392418398962,237062337,47.7432993585496,222.926371992141,72.06,4413.9,650.3157
"IDN","Indonesia",2008,26.2043436045121,53.2529151502595,240157903,48.4644736032029,234.022023276744,71.9,4703,653.1794
"IDN","Indonesia",2009,26.5727183586424,53.1665884606228,243220028,49.16775798133,239.603591203238,74.32,4808.7,685.3767
"IDN","Indonesia",2010,26.568260667402,53.0802617709861,246305322,49.8521375148888,239.553393187817,79.39,4872.4,722.9382
"IDN","Indonesia",2011,27.0964207552627,52.586919226916,249470032,50.4830017089844,260.871954399488,86.09,4891.3,822.6221
"IDN","Indonesia",2012,27.0919630640223,52.0935766828458,252698525,51.1593933105469,324.105127310216,91.04,5086.8,842.7423
"IDN","Indonesia",2013,27.3538142623324,51.6002341387757,255852467,51.8307495117188,303.533746915688,94.01,5087,808.4225
"IDN","Indonesia",2014,27.5091419048223,51.1068915947056,258877399,52.5002136230469,334.115871082202,94.06,5099.1,851.9192
"IDN","Indonesia",2015,27.6112077694021,50.6135490506354,261799249,53.1720771789551,341.496990073275,99.13,5313.8,853.1222
"IDN","Indonesia",2016,27.8730589677122,50.7434545269582,264627418,53.812557220459,332.689389526624,106.81,5158.7,851.5311
"IDN","Indonesia",2017,27.7598939877572,50.0393338229866,267346658,54.4541015625,374.481780805296,159.79,5138.4,905.8894
"IDN","Indonesia",2018,28.411834447481,49.7168177792076,269951846,55.0956840515137,388.94563423822,166.86,5227.8,1002.7634
"IDN","Indonesia",2019,28.7503293442037,49.3942964092507,272489381,55.7382049560547,304.316040505575,167.2,5351.2,1062.2685
"IDN","Indonesia",2020,28.9649906072855,49.0717803654717,274814866,56.2785287648768,336.107986011264,168.3,5461.8,1007.1478
"IDN","Indonesia",2021,28.9558492042508,48.3619448681206,276758053,56.8761702464027,381.229919311091,171.35,5695.7,1037.2806
"IDN","Indonesia",2022,29.0073830174182,48.0419900717626,278830529,57.4934704226599,311.088110799621,189.99,5833.8,1181.2992
"JPN","Japan",2003,14.1015089163237,68.320987654321,127718000,82.4206778416671,301.858994769161,91.69,5451,1389.2192
"JPN","Japan",2004,14.0192043895748,68.3456790123457,127761000,84.3710541898905,295.087462891071,91.55,5942.3,1380.3906
"JPN","Japan",2005,13.9368998628258,68.3703703703704,127773000,85.9573620483714,296.781651376147,91.08,6154,1389.6047
"JPN","Japan",2006,13.8639231824417,68.3950617283951,127854000,87.1460898958075,294.390052958784,91.84,5852.4,1359.7126
"JPN","Japan",2007,13.7909465020576,68.4197530864198,128001000,88.2701404492656,327.142394822006,92.5,6062.1,1393.909
"JPN","Japan",2008,13.7152263374486,68.4444444444444,128063000,89.2921563808851,235.863277623027,92.74,6262.4,1319.317
"JPN","Japan",2009,13.6477366255144,68.4691358024691,128047000,90.1131158718189,208.493246390312,93.49,5919.5,1250.6457
"JPN","Japan",2010,13.5884773662551,68.4938271604938,128070000,90.6228586840649,255.090378327884,92.75,5853.7,1313.1602
"JPN","Japan",2011,13.4951989026063,68.481755829904,127833000,90.8631654434251,249.839915373766,90.57,6010.6,1363.1798
"JPN","Japan",2012,13.4567901234568,68.4696844993141,127629000,91.0265277326652,252.825247291569,93.12,6248.5,1401.3418
"JPN","Japan",2013,13.4211248285322,68.4576131687243,127445000,91.1516595654317,244.643699858424,100.8,6281.5,1417.7406
"JPN","Japan",2014,13.360768175583,68.4455418381344,127276000,91.2548945132333,253.197536712459,100.02,6325.1,1366.6674
"JPN","Japan",2015,13.2949245541838,68.4334705075446,127141000,91.3532644103625,225.326991676576,99.63,6316.7,1324.4225
"JPN","Japan",2016,13.2043895747599,68.4224965706447,127076000,91.4541254852142,236.018164435946,100.35,6253.4,1320.9354
"JPN","Japan",2017,13.1083676268861,68.4087791495199,126972000,91.5498419685883,243.234799327085,100.89,6284.5,1305.6904
"JPN","Japan",2018,13.0205761316872,68.4087791495199,126811000,91.6377318609728,235.997102848865,101.91,6132.3,1254.5984
"JPN","Japan",2019,12.9355281207133,68.4087791495199,126633000,91.7164207898107,226.503394762367,102.48,6295.5,1215.1408
"JPN","Japan",2020,12.8449931412894,68.4087791495199,126261000,91.7809926267889,216.008771929825,103.8,6230.1,1151.0677
"JPN","Japan",2021,12.7818930041152,68.4087791495199,125681593,91.8741049279527,209.813999021047,104.09,6417,1172.1252
"JPN","Japan",2022,12.716049382716,68.4087791495199,125124989,91.9776532428406,201.746187899656,104.84,6319.9,1142.3046
"MYS","Malaysia",2003,21.6595343174555,59.2550296758484,24679602,65.0750932867555,1235.83023334461,54.85,3359.6,188.3416
"MYS","Malaysia",2004,21.7065895601887,59.0286714350936,25256772,66.0647889111941,1802.75060737298,58.97,3326,203.1597
"MYS","Malaysia",2005,21.7148379242124,58.8023131943388,25836071,67.0159820173565,1658.24880715392,62.68,3422.1,215.2126
"MYS","Malaysia",2006,21.5346218231624,58.5759549535839,26417909,67.9191992840997,2012.95551561447,65.31,3390.7,223.0275
"MYS","Malaysia",2007,21.6320194795313,58.3495967128291,26998389,68.7649673902807,2299.42093810445,68.1,3527.7,240.6026
"MYS","Malaysia",2008,21.7635063156293,58.1232384720743,27570059,69.5438130147565,2110.61006433824,69.32,3583.6,252.8853
"MYS","Malaysia",2009,21.9753462182316,57.8968802313194,28124778,70.2462628363839,1301.98461538462,71.94,3720.5,235.8426
"MYS","Malaysia",2010,22.4906406939583,57.6705219905646,28655776,70.8625314831025,2166.74938546178,79.26,3636.1,250.7903
"MYS","Malaysia",2011,22.9207122203622,57.9849764115051,29162039,71.4245166681964,2183.64487060998,81.37,3746.8,252.9347
"MYS","Malaysia",2012,23.8295541013544,58.2994308324456,29662831,71.9680127926087,1916.8401658222,84.87,3797.2,254.6051
"MYS","Malaysia",2013,24.529904124182,58.6138852533861,30174265,72.4882717118078,1985.86520493335,89.94,3876.3,272.7485
"MYS","Malaysia",2014,24.6203013239994,58.9283396743266,30696137,72.9802206910773,2263.39764497761,94.65,4629.2,287.4116
"MYS","Malaysia",2015,26.0842185359915,59.2427940952671,31232798,73.4387869957006,1896.16386569895,100.59,4022.3,290.1481
"MYS","Malaysia",2016,26.0873535230558,58.7875209252777,31789685,73.8588978909614,1995.7809792684,104.77,3977.5,286.5024
"MYS","Malaysia",2017,26.0873535230558,58.6348805356871,32355644,74.2354806421432,2011.31695968787,102.78,3749.6,274.6473
"MYS","Malaysia",2018,26.0873535230558,58.4822401460965,32910967,74.5634625145296,1953.72526686942,100.45,3770.4,291.0216
"MYS","Malaysia",2019,26.0873535230558,58.3295997565059,33440596,74.8377707734042,1347.49488071149,97.47,3500.9,292.1334
"MYS","Malaysia",2020,26.0873535230558,58.1769593669152,33889558,75.0511895575672,1591.18028377216,102.53,3653.8,288.8584
